model,accuracy,precision,recall,f1,roc_auc,lift@10%,lift@20%
LogisticRegression,0.39816608549657756,0.34506031016657096,0.960431654676259,0.5077118106908938,0.7185337400752935,1.5913439790803017,1.659315958086244
RandomForest,0.3942916182358259,0.3435802116099514,0.960431654676259,0.5061078348778433,0.6725332193699343,1.6433225512613165,1.56735386884291
DecisionTree,0.4166343794394937,0.3394422310756972,0.8513189448441247,0.4853594622308306,0.5516516761786144,1.6193324410239252,1.2334915013725454
NeuralNet,0.6512979465323518,0.43820224719101125,0.2805755395683453,0.34210526315789475,0.5432431768761674,1.575350572255374,1.3734338110906623
XGBoost,0.3857677902621723,0.3360011641443539,0.9228617106314948,0.49263921484958395,0.5265070141940255,1.2674774908755166,0.9416118268176156
